lead_id,tag_id
7559043b-03fd-44e8-8245-01c946d1151b,6a28dd71-240c-445c-9814-67a9884dbe61
7559043b-03fd-44e8-8245-01c946d1151b,6a28dd71-240c-445c-9814-67a9884dbe61
7559043b-03fd-44e8-8245-01c946d1151b,6a28dd71-240c-445c-9814-67a9884dbe61
7559043b-03fd-44e8-8245-01c946d1151b,6a28dd71-240c-445c-9814-67a9884dbe61
7559043b-03fd-44e8-8245-01c946d1151b,6a28dd71-240c-445c-9814-67a9884dbe61
176760a1-0cca-4ae4-80b1-a5769ca0332d,6a28dd71-240c-445c-9814-67a9884dbe61
176760a1-0cca-4ae4-80b1-a5769ca0332d,6a28dd71-240c-445c-9814-67a9884dbe61
176760a1-0cca-4ae4-80b1-a5769ca0332d,6a28dd71-240c-445c-9814-67a9884dbe61
209a879a-fb7a-49bc-b6f8-a51918e1d9ed,6a28dd71-240c-445c-9814-67a9884dbe61
6cd3b0e8-08c4-4503-b27e-e53e24ef406a,6a28dd71-240c-445c-9814-67a9884dbe61
6cd3b0e8-08c4-4503-b27e-e53e24ef406a,6a28dd71-240c-445c-9814-67a9884dbe61
b7d16fda-6716-4d0c-a981-45eb35c37f5a,6a28dd71-240c-445c-9814-67a9884dbe61
b7d16fda-6716-4d0c-a981-45eb35c37f5a,6a28dd71-240c-445c-9814-67a9884dbe61
b7d16fda-6716-4d0c-a981-45eb35c37f5a,6a28dd71-240c-445c-9814-67a9884dbe61
b7d16fda-6716-4d0c-a981-45eb35c37f5a,6a28dd71-240c-445c-9814-67a9884dbe61
b7d16fda-6716-4d0c-a981-45eb35c37f5a,6a28dd71-240c-445c-9814-67a9884dbe61
b7d16fda-6716-4d0c-a981-45eb35c37f5a,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
d047658f-13d3-41dc-813d-097d9b772bb8,6a28dd71-240c-445c-9814-67a9884dbe61
bc06b957-1b0c-47c3-a47a-3ae7360b96e4,6a28dd71-240c-445c-9814-67a9884dbe61
bc06b957-1b0c-47c3-a47a-3ae7360b96e4,6a28dd71-240c-445c-9814-67a9884dbe61
bc06b957-1b0c-47c3-a47a-3ae7360b96e4,6a28dd71-240c-445c-9814-67a9884dbe61
bc06b957-1b0c-47c3-a47a-3ae7360b96e4,6a28dd71-240c-445c-9814-67a9884dbe61
